833,BY/0051,Meditech Lab.c/o Solomon Chief Lab.,Federal Medical Centre Yenogoa,Laboratory,Yenagoa,Bayelsa
834,BY/0053,Creda Medical Laboratory,"DSP Way, Ovanal, Yenogoa",Laboratory,Yenagoa,Bayelsa
835,BY/0055,Divine Medical Investment,Yenogoa,Laboratory,Yenagoa,Bayelsa
836,BY/0056,DSS Clinic,"Yenegoa, Bayelsa State",,Yenagoa,Bayelsa
837,BY/0057,"Federal Medical Centre, Yenagoa","Yenagoa, Bayelsa State",,Yenagoa,Bayelsa
838,BY/0058,Trinidex (Trinity) Medical Centre,1 Didie Hotel Road (1st Upstair by the Left) Yenagua,,Yenagoa,Bayelsa
839,BY/0059,Crest Medical Consultant,"Mbiama Yenagoa Road, Bayelsa State","O&G, Laboratory",Yenagoa,Bayelsa
840,BY/0060,"Police Clinics, Bayelsa",Bayelsa State,,Yenagoa,Bayelsa
841,BY/0061,Gloryland-inri med. Center,"7 DSP Alameseigha Express way by Hospital Junction, Yenagoa",,Yenagoa,Bayelsa
842,BY/0064,Touch Good Pharmacy,"20, Imgbi Road, Amara, Yenagoa, Bayelsa State",Pharmacy,Yenagoa,Bayelsa
843,BY/0065,Federal Polytechnic Ekowe Clinic,"Federal Polytechnic, Ekowe",,Southern Ijaw,Bayelsa
844,BY/0066,Federal University Medical Centre,Otuoke,,Ogbia,Bayelsa
845,BY/0067,Yenogoa Hospital & Maternity,"Yenogoa, Bayelsa",,Yenagoa,Bayelsa
846,CR/0001,"General Hospital,Mary Sclessor Avenue","Mary Sclessor Avenue, Calabar",,Calabar Municipality,Cross River
847,CR/0003,Hannah Foundation Clinic & Trauma Centre,"13 Akim Close, Housing Estate, Calabar",,Calabar Municipality,Cross River
848,CR/0004,Faith Foundation Specialist Clinic,"57 Ndidem Isang, Isong Road, Calabar",,Calabar Municipality,Cross River
849,CR/0005,Peace Medical Centre,"17 Efut Street, Calabar",,Calabar Municipality,Cross River
850,CR/0006,City Clinic,"101 Ndidem Isang, Isong Road, Calabar",,Calabar Municipality,Cross River
851,CR/0007,Bakor Medical Centre,"141, Ndidem Isand, Isong Road, Calabar",,Calabar Municipality,Cross River
852,CR/0008,Mevon Specialist Clinic,"30 Akim Road, Calabar",-,Calabar Municipality,Cross River
853,CR/0009,Goldie Clinic,"137, Goldie Street, Calabar",,Calabar Municipality,Cross River
854,CR/0010,Efkam Clinic,"94 Ndidem Usang Iso Road, Calabar",,Calabar Municipality,Cross River
855,CR/0011,Madonna Specialist Hospital Nig. Ltd.,"Divine Grace Villa, 57, Murray Street, Calabar",-,Calabar Municipality,Cross River
856,CR/0012,Canaan Medical Centre,"20b Iso Oqua, Big Qua Town,Calabar",,Calabar Municipality,Cross River
857,CR/0013,Ideal Medical Centre,30 Mbukpa Road,,Calabar Municipality,Cross River
858,CR/0014,Mambo Clinic & Maternity,12 Atamunu Street,,Calabar Municipality,Cross River
859,CR/0016,General Hospital,"Mary Sclessor Avenue, Calabar","Laboratory, Pharmacy, Surgery",Calabar Municipality,Cross River
860,CR/0018,Faith Foundation Specialist Clinic,"57, Ndidem Isang, Isong Road, calabar","O & G, Paediatrics, Surgery",Calabar Municipality,Cross River
861,CR/0019,Union Medical Centre,"103 Ndidem Isand, Isong Road, Calabar","Paediatrics,",Calabar Municipality,Cross River
862,CR/0020,Joel Manuel & Mayfair Pharmacy,"78 Ekpo Abasi Street, Calabar",Pharmacy,Calabar South,Cross River
863,CR/0021,Kamel Pharmacy Ltd.,"90b Goldie Street, Calabar",Pharmacy,Calabar South,Cross River
864,CR/0022,Anijah Pharmacy,"23a Etagbor Road, calabar",Pharmacy,Calabar Municipality,Cross River
865,CR/0023,Roots Biomedical Laboratories,"16 Fuller Street (off Iyang Street), Calabar",Laboraotory,Calabar South,Cross River
866,CR/0024,Fovic Medical Diag. & Analytical Centre,"87, Ekpo Abasi Street, Calabar South",Laboraotory,Calabar South,Cross River
867,CR/0026,Butex Pharmacy,"28 MCC Road, Calabar",Pharmacy,Calabar Municipality,Cross River
868,CR/0027,Bez Pharmacy,"10 White House Street, Calabar",Pharmacy,Calabar South,Cross River
869,CR/0028,Andy Pharmacy,"28 Ndidem Usang Isong Road, Calabar",Pharmacy,Calabar Municipality,Cross River
