357,AN/0052,Arimans Pharmacy,"1 Court Road, Onitsha, Anambra",Pharmacy,Onitsha-North,Anambra
358,AN/0053,Karibu Pharmaceuticals Ltd.,"8A, Upper New Market Road, Onitsha, Anambra State.",Pharmacy,Onitsha-North,Anambra
359,AN/0054,Wisdom Pharmacy Ltd.,"136, Oguta Road, Onitsha, Anambra State.",Pharmacy,Onitsha-North,Anambra
360,AN/0055,Rexton Pharm. Ltd.,"2, Ugwunabankpa, Anambra State.",Pharmacy,Onitsha-North,Anambra
361,AN/0056,Hallywood Chemists,"38, Oguta Road, Onitsha, Anambra State",Pharmacy,Onitsha-North,Anambra
362,AN/0057,Inxs Pharmacy Ltd.,"28, Awka/Mba Road Onitsha, Anambra",Pharmacy,Onitsha-North,Anambra
363,AN/0058,Edozie Pharmacy Ltd.,"24, Osuma Street, Inland Town, Onitsha, Anambra",Pharmacy,Onitsha-North,Anambra
364,AN/0059,Isechem Pharmacy Ltd.,"50, Akozor Street, Enugu/Onitsha Expressway Nkpor",Pharmacy,Idemili North,Anambra
365,AN/0060,Crispa Solar Pharm. Ltd.,"3, Ogbunike Street,Nkpor Ago, Onitsha, Anambra State.",Pharmacy,Idemili North,Anambra
366,AN/0061,"Paxs Pharmaceuticals Ltd.,","2, Market Road, Nkpor Junction Onitsha, Anambra",Pharmacy,Idemili North,Anambra
367,AN/0062,Selar Pharmacy Ltd.,"101 Onitsha Road, Nnewi, Anambra State.",Pharmacy,Nnewi North,Anambra
368,AN/0063,Pharmacrown Chemicals Ltd.,"672, Sir Odumegwu Ojukwu Road Nnewi, Anambra",Pharmacy,Awka North,Anambra
369,AN/0064,Cubens Nig. Ltd.,"8, Onitsha Road, Nnewi Anambra State.",Pharmacy,Awka North,Anambra
370,AN/0065,Lillimeg Pharmacy,"378, Azikiwe Avenue, Awka, Anambra State",Pharmacy,Anaocha,Anambra
371,AN/0066,Georgie Chemist,"69, Ziks Avenue, Awka, Anambra State.",Pharmacy,Onitsha-North,Anambra
372,AN/0067,Wikason Pharmacuticals,"1 Nwagu Junction, Nwagu, Agulu, Anambra State.",Pharmacy,Onitsha-North,Anambra
373,AN/0068,Chuks Medical Diagnostic Lab.,"8A Bishop Onyeabor Street Inland Town, Onitsha,",Laboratory,Onitsha-North,Anambra
