952,CR/0117,Eja Memorial Joint Hospital,"Itigidi, Cross River State",Laboratory,Abi,Cross River
953,CR/0118,General Hospital Obubra,"Obubra, Cross River State",Laboratory,Obubra,Cross River
954,CR/0119,Melrose Hospital,"7-11 Melrose Av. off Border Road, Ikom, Cross River State",Laboratory,Ikom,Cross River
955,CR/0120,Ultimate Medical & Consultant,"Plot 328 Unit B Effanga, mkpa State Housing Estate, Calabar","O&G, Medicine, Surgery, Dental",Calabar Municipality,Cross River
956,CR/0121,Mevon Specialist Clinic,"30 Akim Road, Calabar","Paediatrics, Surgery, O&G, Medicine, Laboratory",Calabar Municipality,Cross River
957,CR/0122,Dominion Pharmacy,"97, Ndidem Isong Road, Calabar",Pharmacy,Calabar Municipality,Cross River
958,CR/0123,Group Specialist Clinic,"Ndidem Usang Iso Road, Calabar",,Calabar Municipality,Cross River
959,CR/0124,Mission Hill Clinic & Maternity,"8, Miles, Calabar",,Calabar Municipality,Cross River
960,CR/0125,Ussy Medicals Consulting Room,"no. 3 Baney Ntui Street, Isong Inyang Akampa.",,Akamkpa,Cross River
961,CR/0126,First Foundation Clinic,Ikom,,Ikom,Cross River
962,CR/0127,Obim Medical Centre,Ikom,,Ikom,Cross River
963,CR/0128,Ekana Medical Centre,"Ogada, Obubra",,Obubra,Cross River
964,CR/0129,Simba Clinic and Maternity,Mkpani Junction,,Yakurr,Cross River
965,CR/0130,Nkem Clinic & Maternity,"94, Ikom - Calabar Road, Ugep.",,Yakurr,Cross River
966,CR/0131,Mercy Clinic & Maternity,"No. 1 Ministry of Works Road, Igoli, Ogoja",,Ogoja,Cross River
967,CR/0132,Egozi Clinic,"Magistrate Road, Ugep, Yakurr",,Yakurr,Cross River
968,CR/0133,Awukams Clinic,"No.7 Awukams Crescent off Ogoja Road, Ikom.",,Ikom,Cross River
969,CR/0134,Kusaki Medical Services (ABEK),Ikom,,Ikom,Cross River
970,CR/0135,Integrity Clinic,"Behind Dapani Hotel, Ikom",,Ikom,Cross River
971,CR/0136,Jody Clinic,"Okundi, Boki LGA",,Boki,Cross River
972,CR/0137,Ubi Medical Consult,24 Old Market Road Ijom - Ugep,,Yakurr,Cross River
973,CR/0138,Pace Clinic,96 Mcc Road Calabar,,Calabar Municipality,Cross River
974,CR/0139,St Peter Hospital,Idum-Mbube Ogoja,,Ogoja,Cross River
975,CR/0140,Zerah Eye Centre,101 Ndidem Isang Isong Calabar,Opthamology,Calabar Municipality,Cross River
976,CR/0141,Bakor Medical Centre,"141, Ndidem Isand, Isong Road, Calabar","O&G, Internal Medicine",Calabar Municipality,Cross River
