714,BO/0054,21 Bde MC Maiduguri,"Maiduguri, Borno State",,Maiduguri M. C.,Borno
715,BO/0055,"212 Bn MRS, Maiduguri","Maiduguri, Borno State",,Maiduguri M. C.,Borno
716,BO/0056,331 AR MRS Biu,"Borno, Borno State",,Biu,Borno
717,BO/0057,202 Bn MRS Bama,"Bama, Borno State",,Bama,Borno
718,BO/0058,243 Bn MRS Monguno,"Monguno, Borno State",,Monguno,Borno
719,BO/0059,231 TK Bn MRS Biu,"Biu, Borno State",,Biu,Borno
720,BO/0060,Police Hospital Alkome,"Maiduguri, Borno State",,Maiduguri M. C.,Borno
721,BO/0061,Cottage Hospital/Comprehensive Health Centre,"Police Training School Gwoza, Borno State",,Gwoza,Borno
722,BO/0062,Alkome Polyclinic,"Baga Road, Maiduguri, Borno State",,Maiduguri M. C.,Borno
723,BO/0063,Sunni Hospital,"Abba Ganaram, Kashim Ibrahim Way, Maiduguri, Borno State",,Maiduguri M. C.,Borno
724,BO/0064,Bolori Medical Clinic,"West end Round About, Maiduguri, Borno State",,Maiduguri M. C.,Borno
725,BO/0065,Kwatam Medical Clinic,"Baga Road, Maiduguri, Borno State",,Maiduguri M. C.,Borno
726,BO/0066,Gospel Mission to Nigeria,"G260 Galdimare, Biu, Gombe State",,Biu,Borno
727,BO/0067,Hirku Clinic & Maternity,"Damaturu Road, Biu, Borno State",,Biu,Borno
728,BO/0070,General Hospital Bama,Gulumba Rd Bama,Laboratory and Pharamacy,Monguno,Borno
729,BO/0071,Monguno General Hospital,Baga Road Monguno,Laboratory and Pharamacy,Monguno,Borno
730,BO/0072,Aarcee Pharmacy,Behind Specialist Hospital Maiduguri,Pharmacy,Maiduguri M. C.,Borno
731,BO/0074,Nazo Pharmacy,GRA Maiduguri,Pharmacy,Maiduguri M. C.,Borno
732,BO/0075,Lawthel Pharmacy,Bama Rd Maiduguri,Pharmacy,Maiduguri M. C.,Borno
733,BO/0076,Nobel Pharmacy,"Kashim Ibrahim Way, Maiduguri",Pharmacy,Maiduguri M. C.,Borno
734,BO/0079,Aumta Pharmacy,Behind Specialist Hospital Maiduguri,Pharmacy,Maiduguri M. C.,Borno
735,BO/0080,City Medical Center,"Galadima Ward, Maiduguri","Lab,Paedriatic,Surgery,Orthopaedic,Radiodiagnostic",Maiduguri M. C.,Borno
736,BO/0081,Alkome Polyclinic,Baga Road Maiduguri,O & G,Maiduguri M. C.,Borno
737,BO/0082,New Fountain Hosp.,"Galadima Ward, Maiduguri","Laboratory, O & G",Maiduguri M. C.,Borno
